Surface Word,Kamba Lemma,English translation,Glossing,Match Type
kĩmuu,kĩmuu,[Translation Missing],kĩmuu,No Lexicon Match
tiyo,tiyo,[Translation Missing],tiyo,No Lexicon Match
yosanasya,sya,[Translation Missing],yosanasya,No Lexicon Match
Ngũ,ngũ,[Translation Missing],ngũ,No Lexicon Match
isyaa,syaa,[Translation Missing],isyaa,No Lexicon Match
Mũkũyũ,kũyũ,[Translation Missing],mũkũyũ,No Lexicon Match
wavalũka,valũka,[Translation Missing],valũka,No Lexicon Match
ũtiaa,ũtiaa,[Translation Missing],ũtiaa,No Lexicon Match
mũuumo,uumo,[Translation Missing],mũuumo,No Lexicon Match
Mũuumo,uumo,[Translation Missing],uumo,No Lexicon Match
mũthonoku,mũthonoku,[Translation Missing],mũthonoku,No Lexicon Match
Vandũ,wandũ,[Translation Missing],Vandũ,No Lexicon Match
vaĩ,vaĩ,[Translation Missing],vaĩ,No Lexicon Match
mũamba,amba,[Translation Missing],mũamba,No Lexicon Match
mũumo,mũumo,[Translation Missing],mũumo,No Lexicon Match
Mwaamba,amba,[Translation Missing],amba,No Lexicon Match
ngamba,ngamba,[Translation Missing],ngamba,No Lexicon Match
ũkimawa,wa,[Translation Missing],ũkimawa,No Lexicon Match
maita,ita,[Translation Missing],ma-ita,No Lexicon Match
elĩ,elĩ,[Translation Missing],elĩ,No Lexicon Match
kothumũla,thumũla,[Translation Missing],ko-thumũla,No Lexicon Match
kate,kate,[Translation Missing],kate,No Lexicon Match
ngalalũ,lalũ,[Translation Missing],ngalalũ,No Lexicon Match
Nthũmũla,thũmũla,[Translation Missing],nthũmũla,No Lexicon Match
yĩndua,yĩndua,[Translation Missing],yĩndua,No Lexicon Match
Kũũ,kũũ,[Translation Missing],kũũ,No Lexicon Match
twĩ,twĩ,[Translation Missing],twĩ,No Lexicon Match
weũnĩ,eũnĩ,[Translation Missing],weũnĩ,No Lexicon Match
Weũ,weũ,[Translation Missing],weũ,No Lexicon Match
waya,waya,[Translation Missing],waya,No Lexicon Match
nzei,nzei,[Translation Missing],nzei,No Lexicon Match
ngũ,ngũ,[Translation Missing],ngũ,No Lexicon Match
ndũtũawa,tũawa,[Translation Missing],ndũtũawa,No Lexicon Match
Ũka,ũka,[Translation Missing],ũka,No Lexicon Match
ũthyũ,ũthyũ,[Translation Missing],ũthyũ,No Lexicon Match
mũongo,mũongo,[Translation Missing],mũongo,No Lexicon Match
ũkũ,ũkũ,[Translation Missing],ũkũ,No Lexicon Match
ũtatũmĩka,tatũmĩka,[Translation Missing],ũtatũmĩka,No Lexicon Match
kĩtĩawa,tĩawa,[Translation Missing],kĩtĩawa,No Lexicon Match
kĩwũ,kĩwũ,[Translation Missing],kĩwũ,No Lexicon Match
Kathuma,thuma,[Translation Missing],thuma,No Lexicon Match
mbavathi,mbavathi,[Translation Missing],mbavathi,No Lexicon Match
kayĩkalasya,lasya,[Translation Missing],kayĩkalasya,No Lexicon Match
mũtumĩa,mũtumĩa,[Translation Missing],mũtumĩa,No Lexicon Match
thome,thoma,[Translation Missing],thoma,No Lexicon Match
Ũ,ũ,[Translation Missing],ũ,No Lexicon Match
kĩvetanĩ,veta,[Translation Missing],kĩvetanĩ,No Lexicon Match
ndũthekaa,thekaa,[Translation Missing],thekaa,No Lexicon Match
iko,iko,[Translation Missing],iko,No Lexicon Match
Ndũkaunĩĩe,unĩĩa,[Translation Missing],unĩĩe,No Lexicon Match
kĩthĩnthĩmwa,thĩnthĩmwa,[Translation Missing],kĩ-thĩnthĩmwa,No Lexicon Match
Ĩlũkũ,ĩlũkũ,[Translation Missing],ĩlũkũ,No Lexicon Match
Ĩ,ĩ,[Translation Missing],ĩ,No Lexicon Match
yĩilea,ilea,[Translation Missing],yĩilea,No Lexicon Match
ũtoa,toa,[Translation Missing],ũtoa,No Lexicon Match
ũtumo,ũtumo,[Translation Missing],ũtumo,No Lexicon Match
ũtaĩ,ũtaĩ,[Translation Missing],ũtaĩ,No Lexicon Match
matatwa,tatwa,[Translation Missing],ma-tatwa,No Lexicon Match
Ũtumo,ũtumo,[Translation Missing],ũtumo,No Lexicon Match
nyama,nyama,[Translation Missing],nyama,No Lexicon Match
Ngoko,uNgoko,[Translation Missing],ngoko,No Lexicon Match
ĩngokwa,ĩngokwa,[Translation Missing],ĩngokwa,No Lexicon Match
ene,ene,[Translation Missing],ene,No Lexicon Match
ũtangokya,ũtangokya,[Translation Missing],ũtangokya,No Lexicon Match
Kũkwĩ,kwĩ,[Translation Missing],kwĩ,No Lexicon Match
ngi,ngi,[Translation Missing],ngi,No Lexicon Match
kũyĩ,kũyĩ,[Translation Missing],kũyĩ,No Lexicon Match
Mũkwa,mũkwa,[Translation Missing],mũkwa,No Lexicon Match
mũkũũ,kũũ,[Translation Missing],mũkũũ,No Lexicon Match
ũlũmasya,sya,[Translation Missing],ũlũmasya,No Lexicon Match
Sisya,Sisya,[Translation Missing],sisya,No Lexicon Match
ũkuĩla,ĩla,[Translation Missing],ũku-ĩla,No Lexicon Match
ĩkundonĩ,ĩkundo,[Translation Missing],ĩkundo,No Lexicon Match
Andũ,andũ,[Translation Missing],andũ,No Lexicon Match
aa,waa,[Translation Missing],aa,No Lexicon Match
nĩmaua,ua,[Translation Missing],nĩmaua,No Lexicon Match
mũũngũ,mũũngũ,[Translation Missing],mũũngũ,No Lexicon Match
wasama,sama,[Translation Missing],wa-sama,No Lexicon Match
ngombe,ngombe,[Translation Missing],ngombe,No Lexicon Match
Kĩrũngũ,kĩrũngũ,[Translation Missing],kĩrũngũ,No Lexicon Match
kĩsyaa,syaa,[Translation Missing],kĩ-syaa,No Lexicon Match
kĩsera,sera,[Translation Missing],kĩ-sera,No Lexicon Match
kyũsyaa,syaa,[Translation Missing],kyũsyaa,No Lexicon Match
kĩyĩsaa,yĩsaa,[Translation Missing],kĩyĩsaa,No Lexicon Match
mũũnda,mũũnda,[Translation Missing],mũũnda,No Lexicon Match
mũtheo,mũtheo,[Translation Missing],mũtheo,No Lexicon Match
Nzee,nzee,[Translation Missing],nzee,No Lexicon Match
ndĩsaa,saa,[Translation Missing],ndĩsaa,No Lexicon Match
maanga,anga,[Translation Missing],maanga,No Lexicon Match
ũtũinĩ,ũtũinĩ,[Translation Missing],ũtũinĩ,No Lexicon Match
mĩingo,mĩingo,[Translation Missing],mĩingo,No Lexicon Match
ĩlĩ,ĩlĩ,[Translation Missing],ĩlĩ,No Lexicon Match
ĩnyungaa,ĩnyungaa,[Translation Missing],ĩnyungaa,No Lexicon Match
mũtitũ,mũtitũ,[Translation Missing],mũtitũ,No Lexicon Match
yĩeye,eya,[Translation Missing],yĩeye,No Lexicon Match
nĩyũmĩsyaa,mĩsyaa,[Translation Missing],nĩyũmĩsyaa,No Lexicon Match
myũngũ,myũngũ,[Translation Missing],myũngũ,No Lexicon Match
yũmea,mea,[Translation Missing],yũmea,No Lexicon Match
ĩkĩkũa,ĩkũa,[Translation Missing],ĩkĩkũa,No Lexicon Match
ĩsyaa,ĩsyaa,[Translation Missing],ĩsyaa,No Lexicon Match
kĩthangaitĩ,thangaitĩ,[Translation Missing],kĩ-thangaitĩ,No Lexicon Match
Vala,vala,[Translation Missing],vala,No Lexicon Match
yavũnĩa,vũnĩa,[Translation Missing],vũnĩa,No Lexicon Match
ĩtiaa,ĩtiaa,[Translation Missing],ĩtiaa,No Lexicon Match
Yũngũ,ũngũ,[Translation Missing],yũngũ,No Lexicon Match
yĩmwe,yĩmwe,[Translation Missing],yĩmwe,No Lexicon Match
yĩyonawa,wa,[Translation Missing],yĩyonawa,No Lexicon Match
nzee,nzee,[Translation Missing],nzee,No Lexicon Match
Mbola,bola,[Translation Missing],mbola,No Lexicon Match
yũwaa,waa,[Translation Missing],yũwaa,No Lexicon Match
nzou,nzou,[Translation Missing],nzou,No Lexicon Match
Mũkua,kua,[Translation Missing],mũkua,No Lexicon Match
nima,nima,[Translation Missing],nima,No Lexicon Match
nĩyake,wake,[Translation Missing],nĩyake,No Lexicon Match
onethĩwa,thĩwa,[Translation Missing],onethĩwa,No Lexicon Match
eanasya,sya,[Translation Missing],sya,No Lexicon Match
owaa,waa,[Translation Missing],owaa,No Lexicon Match
nũyumasya,sya,[Translation Missing],nũyumasya,No Lexicon Match
nzounĩ,nzounĩ,[Translation Missing],nzounĩ,No Lexicon Match
mũkuĩle,kuĩla,[Translation Missing],mũkuĩle,No Lexicon Match
Mũsyĩmi,mũsyĩmi,[Translation Missing],mũsyĩmi,No Lexicon Match
ũtaatha,tha,[Translation Missing],ũtaatha,No Lexicon Match
ndaatha,tha,[Translation Missing],ndaa-tha,No Lexicon Match
nduu,nduu,[Translation Missing],nduu,No Lexicon Match
e,e,[Translation Missing],e,No Lexicon Match
vata,vata,[Translation Missing],vata,No Lexicon Match
mĩwongo,mĩwongo,[Translation Missing],mĩwongo,No Lexicon Match
Ndĩkyamanaa,manaa,[Translation Missing],manaa,No Lexicon Match
kelĩ,kelĩ,[Translation Missing],kelĩ,No Lexicon Match
Nzou,Nzou,[Translation Missing],nzou,No Lexicon Match
ndyũlawa,lawa,[Translation Missing],ndyũlawa,No Lexicon Match
kwoo,kwoo,[Translation Missing],kwoo,No Lexicon Match
yakyamana,mana,[Translation Missing],yakyamana,No Lexicon Match
nĩvenawa,wa,[Translation Missing],nĩ-venawa,No Lexicon Match
ngũngi,ngũngi,[Translation Missing],ngũngi,No Lexicon Match
Ndũsinda,sinda,[Translation Missing],sinda,No Lexicon Match
Ndũkeke,ndũkeke,[Translation Missing],ndũkeke,No Lexicon Match
Thii,thii,[Translation Missing],thii,No Lexicon Match
mwoo,mwoo,[Translation Missing],mwoo,No Lexicon Match
ana,ana,[Translation Missing],ana,No Lexicon Match
mũtwe,mũtwe,[Translation Missing],mũtwe,No Lexicon Match
Nzĩa,nzĩa,[Translation Missing],nzĩa,No Lexicon Match
yatũkaswa,tũkaswa,[Translation Missing],tũkaswa,No Lexicon Match
ndĩmanyaa,manyaa,[Translation Missing],ndĩ-manyaa,No Lexicon Match
syĩndũ,ũndũ,[Translation Missing],syĩndũ,No Lexicon Match
mwĩĩ,mwĩĩ,[Translation Missing],mwĩĩ,No Lexicon Match
wayo,wayo,[Translation Missing],wayo,No Lexicon Match
ndĩemawa,emawa,[Translation Missing],emawa,No Lexicon Match
yayo,wayo,[Translation Missing],yayo,No Lexicon Match
yoasya,sya,[Translation Missing],yoasya,No Lexicon Match
ĩvalũkĩte,ĩvalũkĩte,[Translation Missing],ĩvalũkĩte,No Lexicon Match
yũate,wate,[Translation Missing],yũate,No Lexicon Match
mbĩa,mbĩa,[Translation Missing],mbĩa,No Lexicon Match
nditalawa,lawa,[Translation Missing],ndi-ta-lawa,No Lexicon Match
ngũmbaũ,ngũmbaũ,[Translation Missing],ngũmbaũ,No Lexicon Match
ĩtakalwa,lwa,[Translation Missing],ĩtakalwa,No Lexicon Match
mee,mee,[Translation Missing],mee,No Lexicon Match
kĩthiia,thiia,[Translation Missing],kĩ-thiia,No Lexicon Match
avalũkũ,valũkũ,[Translation Missing],valũkũ,No Lexicon Match
keiwe,keiwa,[Translation Missing],keiwe,No Lexicon Match
ũũ,ũũ,[Translation Missing],ũũ,No Lexicon Match
mũliku,mũliku,[Translation Missing],mũliku,No Lexicon Match
ndũkaainge,inga,[Translation Missing],ndũkaa-inge,No Lexicon Match
Kavũkũ,vũkũ,[Translation Missing],kavũkũ,No Lexicon Match
kaemea,emea,[Translation Missing],emea,No Lexicon Match
kyenga,enga,[Translation Missing],ky-enga,No Lexicon Match
Mbũkũ,mbũkũ,[Translation Missing],mbũkũ,No Lexicon Match
ũliliinĩ,lilia,[Translation Missing],ũlilia,No Lexicon Match
ĩsyĩmawa,ĩsyĩmawa,[Translation Missing],ĩsyĩmawa,No Lexicon Match
mũndũ,mũndũ,[Translation Missing],mũndũ,No Lexicon Match
mũĩ,mũĩ,[Translation Missing],mũĩ,No Lexicon Match
yesĩla,esĩla,[Translation Missing],yesĩla,No Lexicon Match
kĩtonyinĩ,tonya,[Translation Missing],kĩtonya,No Lexicon Match
ndĩleaa,leaa,[Translation Missing],ndĩleaa,No Lexicon Match
ũtia,ũtia,[Translation Missing],ũtia,No Lexicon Match
wia7,wia7,[Translation Missing],wia7,No Lexicon Match
Aumie,uma,[Translation Missing],aumia,No Lexicon Match
ĩkĩmboo,ĩkĩmboo,[Translation Missing],ĩkĩmboo,No Lexicon Match
avota,vota,[Translation Missing],vota,No Lexicon Match
ĩkĩngo,ĩkĩngo,[Translation Missing],ĩkĩngo,No Lexicon Match
Mboo,uMboo,[Translation Missing],mboo,No Lexicon Match
ila,ila,[Translation Missing],ila,No Lexicon Match
Kathaana,thaana,[Translation Missing],kathaana,No Lexicon Match
nosyo,nosyo,[Translation Missing],nosyo,No Lexicon Match
Kyanzavĩ,anzavĩ,[Translation Missing],kyanzavĩ,No Lexicon Match
ndĩkwatawa,tawa,[Translation Missing],ndĩkwatawa,No Lexicon Match
kĩtimba,timba,[Translation Missing],kĩ-timba,No Lexicon Match
ndwĩki,ndwĩki,[Translation Missing],ndwĩki,No Lexicon Match
yendaa,endaa,[Translation Missing],endaa,No Lexicon Match
yoka,oka,[Translation Missing],yoka,No Lexicon Match
nĩlĩsĩlawa,sĩlawa,[Translation Missing],nĩlĩsĩlawa,No Lexicon Match
ũkanyo,ũkanyo,[Translation Missing],ũkanyo,No Lexicon Match
ũkakanwa,nwa,[Translation Missing],ũkakanwa,No Lexicon Match
mboo,mboo,[Translation Missing],mboo,No Lexicon Match
Watina,tina,[Translation Missing],watina,No Lexicon Match
cha,cha,[Translation Missing],cha,No Lexicon Match
kĩyĩemaa,emaa,[Translation Missing],kĩyĩemaa,No Lexicon Match
mbusya,mbusya,[Translation Missing],mbusya,No Lexicon Match
weemaa,emaa,[Translation Missing],weemaa,No Lexicon Match
tyo,tyo,[Translation Missing],tyo,No Lexicon Match
ntheeũ,theeũ,[Translation Missing],ntheeũ,No Lexicon Match
Mũsingi,singi,[Translation Missing],mũsingi,No Lexicon Match
mũtae,mũtae,[Translation Missing],mũtae,No Lexicon Match
ndakĩaa,kĩaa,[Translation Missing],ndakĩaa,No Lexicon Match
ndatulasye,tulasa,[Translation Missing],ndatulasya,No Lexicon Match
ngũka,ngũka,[Translation Missing],ngũka,No Lexicon Match
ndasyĩmaa,syĩmaa,[Translation Missing],syĩmaa,No Lexicon Match
kĩthekanĩ,theka,[Translation Missing],kĩtheka,No Lexicon Match
kĩte,kĩta,[Translation Missing],kĩte,No Lexicon Match
kĩndũ,kĩndũ,[Translation Missing],kĩndũ,No Lexicon Match
ndatiaa,tiaa,[Translation Missing],tiaa,No Lexicon Match
tũva,tũva,[Translation Missing],tũva,No Lexicon Match
Mũthũsa,thũsa,[Translation Missing],thũsa,No Lexicon Match
kĩvĩsĩ,kĩvĩsĩ,[Translation Missing],kĩvĩsĩ,No Lexicon Match
ndaa,ndaa,[Translation Missing],ndaa,No Lexicon Match
mũlanza,lanza,[Translation Missing],mũ-lanza,No Lexicon Match
ĩtako,ĩtako,[Translation Missing],ĩtako,No Lexicon Match
mbusya1,busya1,[Translation Missing],mbusya1,No Lexicon Match
Kathila,thila,[Translation Missing],thila,No Lexicon Match
kasyaa,syaa,[Translation Missing],syaa,No Lexicon Match
kangĩ,kangĩ,[Translation Missing],kangĩ,No Lexicon Match
matenge,tenga,[Translation Missing],ma-tenge,No Lexicon Match
nzia,nzia,[Translation Missing],nzia,No Lexicon Match
Kavii,vii,[Translation Missing],kavii,No Lexicon Match
ke,ke,[Translation Missing],ke,No Lexicon Match
Yatta,tta,[Translation Missing],tta,No Lexicon Match
nĩka,nĩka,[Translation Missing],nĩka,No Lexicon Match
mũsyĩmi,mũsyĩmi,[Translation Missing],mũsyĩmi,No Lexicon Match
Kũu,kũu,[Translation Missing],kũu,No Lexicon Match
ĩngĩ,ĩngĩ,[Translation Missing],ĩngĩ,No Lexicon Match
lũma,lũma,[Translation Missing],lũma,No Lexicon Match
Lũma,Lũma,[Translation Missing],Lũma,No Lexicon Match
maayo,maayo,[Translation Missing],maayo,No Lexicon Match
ngunyũ,ngunyũ,[Translation Missing],ngunyũ,No Lexicon Match
ũĩaa,ũĩaa,[Translation Missing],ũĩaa,No Lexicon Match
nthingii,nthingii,[Translation Missing],nthingii,No Lexicon Match
nzaa,nzaa,[Translation Missing],nzaa,No Lexicon Match
Syavinya,vinya,[Translation Missing],Sya-vinya,No Lexicon Match
naekee,ekea,[Translation Missing],ekea,No Lexicon Match
Wĩa,wĩa,[Translation Missing],wĩa,No Lexicon Match
kwĩnza,ĩnza,[Translation Missing],kwĩnza,No Lexicon Match
maima,ima,[Translation Missing],maima,No Lexicon Match
nawo,nawo,[Translation Missing],nawo,No Lexicon Match
ũkoma,ũkoma,[Translation Missing],ũkoma,No Lexicon Match
nzĩnĩ,nzĩnĩ,[Translation Missing],nzĩnĩ,No Lexicon Match
amaima,ima,[Translation Missing],ama-ima,No Lexicon Match
Mũthoi,thoi,[Translation Missing],mũthoi,No Lexicon Match
ũaithasya,thasya,[Translation Missing],ũaithasya,No Lexicon Match
mũatĩĩi,tĩĩi,[Translation Missing],mũatĩĩi,No Lexicon Match
ũndũmwe,ũndũmwe,[Translation Missing],ũndũmwe,No Lexicon Match
ngwae,ngwaa,[Translation Missing],ngwae,No Lexicon Match
ĩtambya,ĩtambya,[Translation Missing],ĩtambya,No Lexicon Match
Ngũũe,ũa,[Translation Missing],ngũũe,No Lexicon Match
yĩkangaa,kangaa,[Translation Missing],yĩkangaa,No Lexicon Match
a,a,[Translation Missing],a,No Lexicon Match
yo,yo,[Translation Missing],yo,No Lexicon Match
Mwaathi,thi,[Translation Missing],mwaathi,No Lexicon Match
nguma,nguma,[Translation Missing],nguma,No Lexicon Match
ndathaa,thaa,[Translation Missing],thaa,No Lexicon Match
Kũla,kũla,[Translation Missing],kũla,No Lexicon Match
kumaa,maa,[Translation Missing],maa,No Lexicon Match
mbĩkya,mbĩkya,[Translation Missing],mbĩkya,No Lexicon Match
nokwo,nokwo,[Translation Missing],nokwo,No Lexicon Match
mboveli,mboveli,[Translation Missing],mboveli,No Lexicon Match
Mbovi,uMbovi,[Translation Missing],mbovi,No Lexicon Match
ndĩsĩ,ndĩsĩ,[Translation Missing],ndĩsĩ,No Lexicon Match
nthwai,nthwai,[Translation Missing],nthwai,No Lexicon Match
Mwovela,ovela,[Translation Missing],mwovela,No Lexicon Match
weka,weka,[Translation Missing],weka,No Lexicon Match
ndathĩkaa,thĩkaa,[Translation Missing],thĩkaa,No Lexicon Match
Nthee,thee,[Translation Missing],nthee,No Lexicon Match
iemwa,emwa,[Translation Missing],imwa,No Lexicon Match
mwatũ,watũ,[Translation Missing],mwatũ,No Lexicon Match
ilĩkĩlaa,lĩkĩlaa,[Translation Missing],ilĩkĩlaa,No Lexicon Match
imilĩlaa,lĩlaa,[Translation Missing],imilĩlaa,No Lexicon Match
mbya,mbya,[Translation Missing],mbya,No Lexicon Match
Ndwĩa,ndwĩa,[Translation Missing],ndwĩa,No Lexicon Match
nyamũ,nyamũ,[Translation Missing],nyamũ,No Lexicon Match
nene,nene,[Translation Missing],nene,No Lexicon Match
ĩndĩ,ĩndĩ,[Translation Missing],ĩndĩ,No Lexicon Match
yevũthisye,vũthisa,[Translation Missing],yevũthisye,No Lexicon Match
mbiivii,mbiivii,[Translation Missing],mbiivii,No Lexicon Match
Ĩvai,ĩva,[Translation Missing],ĩva,No Lexicon Match
ĩyũaĩaa,ĩaa,[Translation Missing],ĩaa,No Lexicon Match
kũmbĩaa,mbĩaa,[Translation Missing],kũmbĩaa,No Lexicon Match
Yamesya,sya,[Translation Missing],yamesya,No Lexicon Match
maa,maa,[Translation Missing],maa,No Lexicon Match
yĩsawa,wĩsawa,[Translation Missing],yĩsawa,No Lexicon Match
aka,waka,[Translation Missing],aka,No Lexicon Match
Makalanzanga,lanzanga,[Translation Missing],uMakalanzanga,No Lexicon Match
matanĩaa,tanĩaa,[Translation Missing],ma-tanĩaa,No Lexicon Match
Makathanga,thanga,[Translation Missing],thanga,No Lexicon Match
makaanaa,kaanaa,[Translation Missing],makaanaa,No Lexicon Match
Nyamũ,Nyamũ,[Translation Missing],Nyamũ,No Lexicon Match
ndĩyĩwaa,yĩwaa,[Translation Missing],ndĩyĩwaa,No Lexicon Match
muuke,muuka,[Translation Missing],muuke,No Lexicon Match
ĩkungĩawa,ĩkungĩawa,[Translation Missing],ĩkungĩawa,No Lexicon Match
kĩvĩs,kĩvĩs,[Translation Missing],kĩvĩs,No Lexicon Match
kũnwa,nwa,[Translation Missing],kũnwa,No Lexicon Match
ngũngĩ,ngũngĩ,[Translation Missing],ngũngĩ,No Lexicon Match
ndũmyathaa,thaa,[Translation Missing],ndũmya-thaa,No Lexicon Match
welele,elela,[Translation Missing],welela,No Lexicon Match
ndĩtheaa,theaa,[Translation Missing],ndĩ-theaa,No Lexicon Match
ũta,ũta,[Translation Missing],ũta,No Lexicon Match
ndĩtiawaa,waa,[Translation Missing],ndĩtiawaa,No Lexicon Match
nzame,nzame,[Translation Missing],nzame,No Lexicon Match
yĩ,yĩ,[Translation Missing],yĩ,No Lexicon Match
ndĩkũnawa,wa,[Translation Missing],ndĩkũnawa,No Lexicon Match
kavola,vola,[Translation Missing],ka-vola,No Lexicon Match
ĩkusaa,saa,[Translation Missing],ĩkusaa,No Lexicon Match
yĩendete,endeta,[Translation Missing],endeta,No Lexicon Match
nũme,nũme,[Translation Missing],nũme,No Lexicon Match
ndĩkĩlaa,laa,[Translation Missing],ndĩkĩlaa,No Lexicon Match
mwaki,waki,[Translation Missing],mwaki,No Lexicon Match
mbathe,mbathe,[Translation Missing],mbathe,No Lexicon Match
ndĩkalaa,laa,[Translation Missing],ndĩkalaa,No Lexicon Match
ũyinĩ,ũyinĩ,[Translation Missing],ũyinĩ,No Lexicon Match
ngũlũ,ngũlũ,[Translation Missing],ngũlũ,No Lexicon Match
ĩmĩaa,ĩmĩaa,[Translation Missing],ĩmĩaa,No Lexicon Match
ĩũngeme,ĩũngema,[Translation Missing],ĩũngeme,No Lexicon Match
Ũkamyona,myona,[Translation Missing],ũkamyona,No Lexicon Match
ĩkwitheetha,theetha,[Translation Missing],ĩkwitheetha,No Lexicon Match
wasya,sya,[Translation Missing],wa-sya,No Lexicon Match
ĩĩ,ĩĩ,[Translation Missing],ĩĩ,No Lexicon Match
ndyaũmbwa,ũmbwa,[Translation Missing],ũmbwa,No Lexicon Match
Wakomana,komana,[Translation Missing],wakomana,No Lexicon Match
mavũngũ,vũngũ,[Translation Missing],mavũngũ,No Lexicon Match
isembete,sembete,[Translation Missing],isembete,No Lexicon Match
manya,manya,[Translation Missing],manya,No Lexicon Match
ithu,ithu,[Translation Missing],ithu,No Lexicon Match
ĩtina,ĩtina,[Translation Missing],ĩtina,No Lexicon Match
Wenda,enda,[Translation Missing],wenda,No Lexicon Match
ũmanya,manya,[Translation Missing],ũmanya,No Lexicon Match
nthũkũ,nthũkũ,[Translation Missing],nthũkũ,No Lexicon Match
kiita,ita,[Translation Missing],ki-ita,No Lexicon Match
ĩswii,ĩswii,[Translation Missing],ĩswii,No Lexicon Match
Woona,ona,[Translation Missing],ona,No Lexicon Match
kasamũ,samũ,[Translation Missing],ka-samũ,No Lexicon Match
kasembete,sembete,[Translation Missing],sembete,No Lexicon Match
kakĩĩte,kĩĩta,[Translation Missing],kĩĩte,No Lexicon Match
kwĩko,kwĩko,[Translation Missing],kwĩko,No Lexicon Match
Mũthaimi,thaimi,[Translation Missing],mũthaimi,No Lexicon Match
naĩ,naĩ,[Translation Missing],naĩ,No Lexicon Match
athekawa,thekawa,[Translation Missing],thekawa,No Lexicon Match
kĩao,wao,[Translation Missing],kĩao,No Lexicon Match
Sya,Sya,[Translation Missing],sya,No Lexicon Match
nĩsyo,nĩsyo,[Translation Missing],nĩsyo,No Lexicon Match
syĩnzanĩaa,nĩaa,[Translation Missing],syĩnzanĩaa,No Lexicon Match
ũlenga,lenga,[Translation Missing],ũlenga,No Lexicon Match
nzingi,nzingi,[Translation Missing],nzingi,No Lexicon Match
ũkũlengala,lengala,[Translation Missing],ũkũ-lengala,No Lexicon Match
ĩthĩĩ,thĩĩ,[Translation Missing],ĩthĩĩ,No Lexicon Match
Ĩsũni,ĩsũni,[Translation Missing],ĩsũni,No Lexicon Match
yĩkwĩtũũa,ĩkwĩtũũa,[Translation Missing],yĩkwĩtũũa,No Lexicon Match
yonekaa,onekaa,[Translation Missing],yonekaa,No Lexicon Match
kwacha,kwacha,[Translation Missing],kwacha,No Lexicon Match
mũnuka,nuka,[Translation Missing],mũ-nuka,No Lexicon Match
mũasa,asa,[Translation Missing],mũasa,No Lexicon Match
ĩyĩĩsawa,ĩsawa,[Translation Missing],ĩsawa,No Lexicon Match
yĩoeaa,oeaa,[Translation Missing],yĩoeaa,No Lexicon Match
mokonĩ,mokonĩ,[Translation Missing],mokonĩ,No Lexicon Match
yaũlekya,ũlekya,[Translation Missing],ũlekya,No Lexicon Match
nĩyoneaa,oneaa,[Translation Missing],nĩyoneaa,No Lexicon Match
nzevenĩ,nzevenĩ,[Translation Missing],nzevenĩ,No Lexicon Match
I,i,[Translation Missing],i,No Lexicon Match
yilũ,wilũ,[Translation Missing],yilũ,No Lexicon Match
me,me,[Translation Missing],me,No Lexicon Match
Ĩkoto,ĩkoto,[Translation Missing],ĩkoto,No Lexicon Match
ĩvũthasya,thasya,[Translation Missing],ĩvũthasya,No Lexicon Match
mũũlũkĩle,mũũlũkĩle,[Translation Missing],mũũlũkĩle,No Lexicon Match
Kĩtaũmwa,ũmwa,[Translation Missing],kĩtaũmwa,No Lexicon Match
ĩkoto,ĩkoto,[Translation Missing],ĩkoto,No Lexicon Match
kĩnengawe,nengawe,[Translation Missing],kĩnengawe,No Lexicon Match
ivĩsĩ,vĩsĩ,[Translation Missing],ivĩsĩ,No Lexicon Match
Mũlaki,mũlaki,[Translation Missing],mũlaki,No Lexicon Match
ndũũ,ndũũ,[Translation Missing],ndũũ,No Lexicon Match
kasyũngere,syũngera,[Translation Missing],syũngere,No Lexicon Match
ndogaa,ndogaa,[Translation Missing],ndogaa,No Lexicon Match
ngere,ngere,[Translation Missing],ngere,No Lexicon Match
Kasĩlĩlĩ,sĩlĩlĩ,[Translation Missing],sĩlĩlĩ,No Lexicon Match
kosyaĩa,syaĩa,[Translation Missing],ko-syaĩa,No Lexicon Match
mauuwĩ,uuwĩ,[Translation Missing],mauuwĩ,No Lexicon Match
Kĩndilĩ,kĩndilĩ,[Translation Missing],kĩndilĩ,No Lexicon Match
kĩkalasya,lasya,[Translation Missing],kĩkalasya,No Lexicon Match
kyakwatwa,kwata,[Translation Missing],kyakwatwa,No Lexicon Match
Ndala,uNdala,[Translation Missing],ndala,No Lexicon Match
tũmĩmanyaa,manyaa,[Translation Missing],tũmĩmanyaa,No Lexicon Match
tũsĩla,sĩla,[Translation Missing],tũsĩla,No Lexicon Match
Nditũaa,tũaa,[Translation Missing],nditũaa,No Lexicon Match
vandũ,wandũ,[Translation Missing],vandũ,No Lexicon Match
vamwe,vamwe,[Translation Missing],vamwe,No Lexicon Match
nzũũ,nzũũ,[Translation Missing],nzũũ,No Lexicon Match
Nye,nye,[Translation Missing],nye,No Lexicon Match
Kanywamalaa,nywamalaa,[Translation Missing],kanywamalaa,No Lexicon Match
ngũnywa,nywa,[Translation Missing],nywa,No Lexicon Match
malaa,laa,[Translation Missing],malaa,No Lexicon Match
wĩna,wĩna,[Translation Missing],wĩna,No Lexicon Match
nziii,nziii,[Translation Missing],nziii,No Lexicon Match
Ũsĩa,ũsĩa,[Translation Missing],ũsĩa,No Lexicon Match
ndei,ndei,[Translation Missing],ndei,No Lexicon Match
