Surface Word,Tshiluba Lemma,English translation,Glossing,Match Type
mabanza,banza,[Translation Missing],ma-banza,No Lexicon Match
kapingana,pingana,[Translation Missing],ka-pingana,No Lexicon Match
makuabo,kuabo,[Translation Missing],makuabo,No Lexicon Match
Kakasekasekabo,sekasekabo,[Translation Missing],sekasekabo,No Lexicon Match
nkakadiundadiunda,diundadiunda,[Translation Missing],nkaka-diundadiunda,No Lexicon Match
bunene,nene,[Translation Missing],bunene,No Lexicon Match
Kankenene,nene,[Translation Missing],kankenene,No Lexicon Match
kakuatshile,kuatsha,[Translation Missing],kakuatsha,No Lexicon Match
nzevu,nzevu,[Translation Missing],nzevu,No Lexicon Match
mibanga,banga,[Translation Missing],mi-banga,No Lexicon Match
Kadia,dia,[Translation Missing],kadia,No Lexicon Match
kabikila,bikila,[Translation Missing],ka-bikila,No Lexicon Match
ngulu,ngulu,[Translation Missing],ngulu,No Lexicon Match
Kandindi,kandindi,[Translation Missing],kandindi,No Lexicon Match
sama,sama,[Translation Missing],sama,No Lexicon Match
mapa,pa,[Translation Missing],ma-pa,No Lexicon Match
wakasua,sua,[Translation Missing],sua,No Lexicon Match
kuenda,enda,[Translation Missing],enda,No Lexicon Match
mulu,mulu,[Translation Missing],mulu,No Lexicon Match
muebe,eba,[Translation Missing],eba,No Lexicon Match
nguewe,nguewe,[Translation Missing],nguewe,No Lexicon Match
Kabulekedi,bulekedi,[Translation Missing],kabulekedi,No Lexicon Match
bidimu,bidimu,[Translation Missing],bi-dimu,No Lexicon Match
biapita,pita,[Translation Missing],pita,No Lexicon Match
nkama,nkama,[Translation Missing],nkama,No Lexicon Match
Kalume,luma,[Translation Missing],kalume,No Lexicon Match
kanyi,kanyi,[Translation Missing],kanyi,No Lexicon Match
ntshintu,ntshintu,[Translation Missing],ntshintu,No Lexicon Match
nkantu,nkantu,[Translation Missing],nkantu,No Lexicon Match
bianza,anza,[Translation Missing],bi-anza,No Lexicon Match
kabo,kabo,[Translation Missing],kabo,No Lexicon Match
nkufikisha,fikisha,[Translation Missing],nkufikisha,No Lexicon Match
bujitu,jitu,[Translation Missing],bujitu,No Lexicon Match
Kabukebakeba,bukebakeba,[Translation Missing],kebakeba,No Lexicon Match
nkabumonamona,bumonamona,[Translation Missing],nkabumonamona,No Lexicon Match
nzambi,nzambi,[Translation Missing],nzambi,No Lexicon Match
ntshipapayi,ntshipapayi,[Translation Missing],ntshipapayi,No Lexicon Match
kasu,kasu,[Translation Missing],kasu,No Lexicon Match
biasuayi,suayi,[Translation Missing],bia-suayi,No Lexicon Match
kanza,kanza,[Translation Missing],kanza,No Lexicon Match
kalua,lua,[Translation Missing],ka-lua,No Lexicon Match
kanya,kanya,[Translation Missing],kanya,No Lexicon Match
munkelende,lenda,[Translation Missing],munke-lende,No Lexicon Match
munu,munu,[Translation Missing],munu,No Lexicon Match
kitsidiyi,tsidiyi,[Translation Missing],ki-tsidiyi,No Lexicon Match
wakafuisha,fuisha,[Translation Missing],fuisha,No Lexicon Match
mbayende,yenda,[Translation Missing],mbayende,No Lexicon Match
bela,bela,[Translation Missing],bela,No Lexicon Match
mbuji,mbuji,[Translation Missing],mbuji,No Lexicon Match
pabule,pabula,[Translation Missing],pabula,No Lexicon Match
muonji,onji,[Translation Missing],mu-onji,No Lexicon Match
wende,enda,[Translation Missing],enda,No Lexicon Match
budimu,budimu,[Translation Missing],budimu,No Lexicon Match
mbupite,bupita,[Translation Missing],mbupite,No Lexicon Match
bakupa,pa,[Translation Missing],pa,No Lexicon Match
mutshimabimpa,bimpa,[Translation Missing],mu-tshimabimpa,No Lexicon Match
