Surface Word,Chiga Lemma,English translation,Glossing,Match Type
okwokureberera,bere,breast,ukureberera N;SG;BANTU1;PSSB15,Substring Overlap
kutandiika,tandiika,"overcome, vanquish, win, spin, rub sticks together (Inferred via BantuBERTa)",tandiika V;NFIN,BantuBERTa Vector Neighborhood
Tuyembe,yemba,[Translation Missing],yemba V;PST;REC;1;PL,No Lexicon Match
Amuntu,muntuwe,scarecrow,muntu N;SG;BANTU1,Substring Overlap
hamwe,ahamweija,the other,hamwe,Substring Overlap
omumizi,omumizi,gobbler,umumizi N;SG;BANTU1,PanLex Exact Match
Shate,ekishate,wood chip,Shate,Substring Overlap
akachwamutwe,chwamutwa,[Translation Missing],chwamutwe V;PST;REM;3;SG,No Lexicon Match
kwenda,enda,"louse, belly, stomach, pregnancy, womb, inside",enda V;PRS;HAB;2;SG,PanLex Exact Match
Omuriro,omuriro,fire,umuriro N;SG;BANTU1,PanLex Exact Match
Ebifera,fera,"complete, do, finish, cease, for (Inferred via BantuBERTa)",fera V;PRS;HAB;3;PL,BantuBERTa Vector Neighborhood
ekyawe,ekyawe,your,ekyawe PRO;INT;INTENS,PanLex Exact Match
Eshagama,shagama,blood,Eshagama N;SG;BANTU10,PanLex Exact Match
gukurekyerwaho,gukurekyerwaho,"fruit, seeds (Inferred via BantuBERTa)",gukurekyerwaho N;SG;BANTU14,BantuBERTa Vector Neighborhood
Omusheija,umusheija,"cow, cattle (Inferred via BantuBERTa)",umusheija N;SG;BANTU1,BantuBERTa Vector Neighborhood
ayigusi,gusi,"hunger, famine (Inferred via BantuBERTa)",igusi N;PL;BANTU1,BantuBERTa Vector Neighborhood
Kurinamanyire,inama,"face downwards, bending, bow, bend down, lean, slope",manya V;PST;PROG;3;SG;BANTU15,Substring Overlap
gwe,gwe,leopard,gwe DET;POSS;PSS1P;BANTU1,PanLex Exact Match
tibushema,obushema,folly,tibushema V;PRS,Substring Overlap
Engyesho,engyesho,"habit, custom",ingyesho,PanLex Exact Match
okukora,kora,do,kora V;NFIN,PanLex Exact Match
nabara,bara,count,bara V;PST;REC;1;SG,PanLex Exact Match
mushenga,shenga,"here, at, on, to, about (Inferred via BantuBERTa)",mushenga N;SG;BANTU1,BantuBERTa Vector Neighborhood
Amihande,handa,path,handa V;PST;REC;3;SG,PanLex Exact Match
nizihisa,kutahisa,let down,nizihisa N;PL;BANTU9,Substring Overlap
ekyina,ensikyina,hiccup,kyina V;PRS;HAB;3;SG,Substring Overlap
atakakutayayisaga,tayayisaga,"woman, wife (Inferred via BantuBERTa)",tayayisaga V;FUT,BantuBERTa Vector Neighborhood
ahandijo,handijo,"woman, wife (Inferred via BantuBERTa)",handijo V;PRS;HAB;3;SG,BantuBERTa Vector Neighborhood
abaana,ana,child,abaana N;PL;BANTU2,PanLex Exact Match
yashenya,shenya,cut firewood,shenya V;PST;REC;3;SG,PanLex Exact Match
bwebintu,ubwebintu,"beautiful, good (Inferred via BantuBERTa)",bwebintu N;SG;PSSB14,BantuBERTa Vector Neighborhood
Omukumi,kumi,ten,umukumi N;SG;BANTU1,Substring Overlap
komuntu,omuntu,person,komuntu N;SG;BANTU15,Substring Overlap
atakakwetsire,kwetsa,[Translation Missing],takakwetsa V;FUT;3;SG,No Lexicon Match
nekiti,ekiti,"stick, wild tree, handle",nekiti N;SG;BANTU9,Substring Overlap
gwomugyenyi,gyenyi,"guest, stranger",gwomugyenyi N;SG;BANTU1,Substring Overlap
takaruha,eibaruha,letter,ruha V;PST;REM;1;PL,Substring Overlap
akubanza,okwokubanza,January,banza V;PRS;PROG;3;SG,Substring Overlap
nakira,kira,tail,nakira N;SG;BANTU9,PanLex Exact Match
okujungwa,junga,doctor (Inferred via BantuBERTa),junga V;NFIN,BantuBERTa Vector Neighborhood
nibagira,akahungira,mannikin,gira V;PRS,Substring Overlap
okyakyenda,enda,"louse, belly, stomach, pregnancy, womb, inside",enda V;PRS;HAB;2;SG,PanLex Exact Match
ahamushija,hamushija,"woman, wife (Inferred via BantuBERTa)",hamushija V;PRS,BantuBERTa Vector Neighborhood
baba,ababambaazi,madmen,baba,Substring Overlap
kandi,kandi,"and, then, extra",kandi N;SG;BANTU15,PanLex Exact Match
biiro,biiro,"thief, greedy one (Inferred via BantuBERTa)",biiro,BantuBERTa Vector Neighborhood
Nikirungi,rungi,good,uNikirungi N;SG;BANTU10,PanLex Exact Match
Okuririra,kubaririra,estimate,ririra V;NFIN,Substring Overlap
eyabandi,ekibandira,side of a blade,eyabandi N;PL;BANTU1;PSSB9,Substring Overlap
ariwe,kusambisiriwa,be in a rage,riwa V;PST;REC;3;SG,Substring Overlap
omurundi,omurundi,Murundi,umurundi N;SG;BANTU1,PanLex Exact Match
Omutabani,omutabani,son,umutabani N;SG;BANTU1,PanLex Exact Match
kusinga,singa,"overcome, vanquish, win",singa V;NFIN,PanLex Exact Match
ondijo,ondi,"another, the other",ondijo N;SG;BANTU1,Substring Overlap
Omukazi,omukazi,"woman, wife",umukazi N;SG;BANTU1,PanLex Exact Match
munonga,mononga,"very, very much, often",munonga N;SG;BANTU1,Substring Overlap
gumwe,ogumwe,one,gumwe N;SG;BANTU14,Substring Overlap
babiri,biri,"body, two",biri V;PRS;HAB;3;PL,PanLex Exact Match
Katakahikyire,taka,"soil, earth, land, (dry) land",takahikya V;PST;REC;3;SG,Substring Overlap
arikubasa,abasaasizi,the merciful,basa V;PRS;PROG;3;SG,Substring Overlap
nibabasa,abasaasizi,the merciful,basa V;PRS;HAB;1;SG,Substring Overlap
tibikakuzibira,zibira,obstruct,zibira V;PRS;PROG;1;PL,PanLex Exact Match
ekiro,ekiro,night,ekiro,PanLex Exact Match
arikukukyira,kyira,person (Inferred via BantuBERTa),kyira V;PRS;PROG;3;SG,BantuBERTa Vector Neighborhood
Otakatera,eterana,"be assembled, be gathered",tera V;FUT;3;SG,Substring Overlap
kubyama,kubyama,"lie down, go to bed",byama V;NFIN,PanLex Exact Match
bonka,onka,"suck, suck (the breast)",bonka V;PRS,Substring Overlap
nibyo,nibyo,[Translation Missing],nibyo DET;POSS;PSS1P;BANTU9,No Lexicon Match
kutayayisa,tayayisa,"woman, wife (Inferred via BantuBERTa)",tayayisa V;NFIN,BantuBERTa Vector Neighborhood
Omuchezi,chezi,"rat, (very large long-tailed) rat",umuchezi N;PL;BANTU1,Substring Overlap
oruhu,oruhu,"skin, hide, leather",oruhu N;SG;BANTU11,PanLex Exact Match
yamutahi,muta,"how, how?",tahi V;PST;REC;3;SG,Substring Overlap
Okwenda,enda,"louse, belly, stomach, pregnancy, womb, inside",enda V;PRS;HAB;2;SG,PanLex Exact Match
kukyikwaka,kwaka,"be hot, shine, deprive of, start",kyikwaka V;NFIN,Substring Overlap
ekyenyanja,ekyenyanja,fish,inyanja N;SG;BANTU1;PSSB17,PanLex Exact Match
Okunya,nya,that very,ukunya N;SG;BANTU15,PanLex Exact Match
Otaribara,bara,count,taribara V;PRS;HAB;2;SG,Substring Overlap
arikugyira,gyira,"cow, cattle (Inferred via BantuBERTa)",gyira V;PRS;PROG;3;SG,BantuBERTa Vector Neighborhood
yomwana,omwana,"child, son, nephew, niece, young animal",yomwana N;SG;BANTU1,PanLex Exact Match
ariiwe,riiwa,"judgment, criticism (Inferred via BantuBERTa)",riiwa V;PST;REC;3;SG,BantuBERTa Vector Neighborhood
kunaba,ba,"be, become, husband, pile up, stack",naba V;NFIN,PanLex Exact Match
kutura,batura,"pull up, root up",tura V;NFIN,Substring Overlap
ekyeye,eye,[Translation Missing],ekyeye N;SG;BANTU15,No Lexicon Match
najuma,juma,"abuse, fruit, grain",juma V;PST;REC;1;SG,PanLex Exact Match
kurya,rya,"eat, wire, (brass) wire",rya V;NFIN,PanLex Exact Match
zaago,ago,"that, those",zaago,PanLex Exact Match
kuribwa,ribwa,"potato, (sweet) potato",ribwa V;NFIN,PanLex Exact Match
murungi,omurungi,"good, beautiful, kind, sweetheart, husband",murungi N;SG;BANTU1,Substring Overlap
otakafiire,fia,scar (Inferred via BantuBERTa),fiira V;FUT;2;SG,BantuBERTa Vector Neighborhood
nayegura,egura,carry,yegura V;PST;REC;1;SG,Substring Overlap
Okukurabura,bura,get lost,ukurabura N;SG;BANTU15,Substring Overlap
ebyenyanja,nyanja,lake,inyanja N;SG;BANTU14,Substring Overlap
ogukwera,kwera,"winnow, be ripe, be white, be clear",gukwera V;PRS;HAB;2;SG,Substring Overlap
namaririza,kumaririza,complete,maririza V;PST;REC;1;SG,Substring Overlap
nibwo,nibwo,dog (Inferred via BantuBERTa),nibwo DET;POSS;PSS1P;BANTU9,BantuBERTa Vector Neighborhood
bwenjara,enjara,"hunger, famine",enjara V;PRS,PanLex Exact Match
zaawe,owaawe,your,zaawe DET;POSS;PSS1P;BANTU8,Substring Overlap
nibarya,rya,"eat, wire, (brass) wire",rya V;PRS;HAB;1;SG,PanLex Exact Match
omushango,omushango,"judgment, criticism",umushango N;SG;BANTU1,PanLex Exact Match
eija,ija,come,ija V;PRS,PanLex Exact Match
nakwata,kwata,"seize, coagulate, spill, pour, crack, reveal",kwata V;PST;REC;1;SG,PanLex Exact Match
rwakasheshe,shesha,dawn,shesha V;PST;REC;3;SG,PanLex Exact Match
busha,kuhendwa busha,be fragile,busha V;PRS,Substring Overlap
ahamutwe,hamutwa,"tobacco pipe, cooking pot, (earthen) cooking pot, pot, smoking pipe (Inferred via BantuBERTa)",hamutwa V;PST;REC;3;SG,BantuBERTa Vector Neighborhood
Omutego,omutego,"snare, trap, bait",umutego N;SG;BANTU1,PanLex Exact Match
oburugo,oburugo,source,uburugo N;SG;BANTU14,PanLex Exact Match
naawe,wa,[Translation Missing],naawe PRO;INT;INTENS,No Lexicon Match
Ahariho,hari,"jealousy, then, in that case, over there",ahariho N;SG;BANTU1,Substring Overlap
gukyiri,gukyiri,"tree, bar (Inferred via BantuBERTa)",gukyiri N;SG;BANTU14,BantuBERTa Vector Neighborhood
atakukyiha,kyiha,mother (Inferred via BantuBERTa),kyiha V;FUT,BantuBERTa Vector Neighborhood
haare,haare,"mango, mango-tree (Inferred via BantuBERTa)",haare,BantuBERTa Vector Neighborhood
omukitara,kita,"how, how?",umukitara N;SG;BANTU1,Substring Overlap
ahabwebibi,ebibi,"sin, faults, bad, dirty",habwebibi V;PRS;HAB;3;SG,Substring Overlap
niguterezibwa,guterezibwa,"tree, bar (Inferred via BantuBERTa)",guterezibwa V;PRS,BantuBERTa Vector Neighborhood
okwo,okwo,"that, near there",okwo DET;POSS;PSS1P;BANTU15,PanLex Exact Match
baaro,waaro,that (Inferred via BantuBERTa),baaro,BantuBERTa Vector Neighborhood
kukuyamba,abanyambabazi,kind people,yamba V;NFIN,Substring Overlap
akaza,za,"home, at home (Inferred via BantuBERTa)",za V;PST;REM;3;SG,BantuBERTa Vector Neighborhood
emwe,emwe,"one, some",emwe PRO;INT;INTENS,PanLex Exact Match
mbi,mbi,[Translation Missing],mbi N;SG;BANTU1,No Lexicon Match
Hakiri,kiri,"rock, that over there",hakiri,Substring Overlap
noguwaba,guwaba,[Translation Missing],guwaba V;PRS;HAB;1;SG,No Lexicon Match
tihakaburaho,bura,get lost,tihakaburaho V;PST;REC;1;PL,Substring Overlap
atari,ahatari,without,atari N;SG;BANTU1,Substring Overlap
nokwiba,iba,"husband, steal",iba V;PRS;HAB;1;SG,PanLex Exact Match
zomutabani,muta,"how, how?",umutabani N;SG;PSSB8,Substring Overlap
yamizi,yamizi,"tobacco pipe, cooking pot, (earthen) cooking pot, pot, smoking pipe (Inferred via BantuBERTa)",yamizi N;PL;BANTU1,BantuBERTa Vector Neighborhood
ekyihuro,ekiihuro,meal,ihuro N;SG;BANTU15,Substring Overlap
Abanyabwengye,abanyabwengye,clever people,umnyabwengye N;PL;BANTU2,PanLex Exact Match
eisyo,isyo,"breath, breathing",isyo N;SG;BANTU10,PanLex Exact Match
eibanja,eibanja,"debt, duty, obligation",ibanja N;SG;BANTU10,PanLex Exact Match
ebikukwata,kwata,"seize, coagulate, spill, pour, crack, reveal",kwata V;PRS;HAB;3;PL,PanLex Exact Match
omubazi,omubazi,"medicine, remedy, accountant, ointment, polish",umubazi N;SG;BANTU1,PanLex Exact Match
enju,enju,"house, white hair, grey hair",enju PRO;INT;INTENS,PanLex Exact Match
babarwa,rwa,beer,barwa V;PST;REC;3;PL,PanLex Exact Match
ebirungi,ebirungi,"beautiful, good",ebirungi N;PL;BANTU10,PanLex Exact Match
ekisero,kisero,"body, two (Inferred via BantuBERTa)",ekisero,BantuBERTa Vector Neighborhood
muhanda,handa,path,muhanda N;SG;BANTU1,PanLex Exact Match
kakurebwa,ebwa,forget,rebwa V;PST;REC;3;SG,Substring Overlap
nyingyi,nyingyi,"cow, cattle (Inferred via BantuBERTa)",nyingyi N;SG;BANTU9,BantuBERTa Vector Neighborhood
