Surface Word,Gikuyu Lemma,English translation,Glossing,Match Type
nyingi,nyingi,[Translation Missing],nyingi N;SG;BANTU9,No Lexicon Match
mwereini,mwere,bullrush millet,mwereini N;SG;BANTU1,Substring Overlap
ndiambagiririo,amba,"apply, spread over, apply (by stretching)",ambagiririo V;PRS;HAB;1;SG,Substring Overlap
Kanywanjui,nywanjui,[Translation Missing],Kanywanjui N;SG;BANTU15,No Lexicon Match
nditihagira,kuhagira nyungu,"put on the fire, put (a pot) on the fire",hagira V;FUT,Substring Overlap
Murori,umurori,[Translation Missing],uMurori N;SG;BANTU1,No Lexicon Match
ithiagwwo,thia,"point, tip, highest point, utmost, keep livestock",ithiagwwo N;SG;BANTU9,Substring Overlap
Hururu,ruru,"shade, shadow",hururu N;SG;BANTU1,Substring Overlap
mari,kicumari,Somali,uMari,Substring Overlap
gwathana,athana,"chief person, head",gwathana V;PST;REC;3;SG,Substring Overlap
Gutema,gutema,[Translation Missing],Gutema N;SG;BANTU14,No Lexicon Match
ndiriaga,aga,[Translation Missing],aga V;PRS;PROG;1;SG,No Lexicon Match
weriire,aljeria,"Algeria, country, Atlas Mountains, Chenoua, 𐐈𐑊𐐾𐐮𐑉𐐨𐐲",eria V;PST;REC;2;SG,Substring Overlap
itigayagwo,tiga,"leave, leave (off)",itigayagwo N;SG;BANTU9,Substring Overlap
iguita,guita,[Translation Missing],guita V;PRS,No Lexicon Match
Guthigagio,higa,stone,Guthigagio N;SG;BANTU14,Substring Overlap
Kahii,kahii,[Translation Missing],kahii,No Lexicon Match
Muhaka,haka,"polish, boundary",haka V;PRS,PanLex Exact Match
umirite,mirita,[Translation Missing],mirita V;PRS;HAB;2;SG,No Lexicon Match
muti,muti,"tree-trunk, (base of) tree-trunk, tree, plant, organism capable of photosynthesis, herb",muti N;SG;BANTU1,PanLex Exact Match
thambo,ambo,peg,thambo,Substring Overlap
Muhoreri,horeri,[Translation Missing],uMuhoreri N;SG;BANTU1,No Lexicon Match
itari,dagitari,"doctor, physician, physican",itari,Substring Overlap
Guthimba,imba,"corpse, swell",Guthimba V;PRS;HAB;3;SG,Substring Overlap
muthiomerwo,muthi,today,muthiomerwo N;SG;BANTU1,Substring Overlap
gugithinjwo,gugithinjwo,[Translation Missing],gugithinjwo N;SG;BANTU14,No Lexicon Match
kuhinja,hinja,"become lean, grow thin",hinja V;NFIN,PanLex Exact Match
ndari,ndari,[Translation Missing],ndari N;SG;BANTU9,No Lexicon Match
kagaruragwo,garuragwo,[Translation Missing],garuragwo V;PST;REC;3;SG,No Lexicon Match
Mumbi,itumbi,egg,uMumbi N;SG;BANTU1,Substring Overlap
kuramata,mata,spittle,ramata V;NFIN,Substring Overlap
Muikarania,kiukrania,Ukrainian,uMuikarania N;SG;BANTU1,Substring Overlap
Irugamaga,gama,"come to a halt, pull up",irugamaga N;SG;BANTU1,Substring Overlap
gacio,gacio,[Translation Missing],gacio DET;POSS;PSS1P;BANTU6,No Lexicon Match
ndiriragwo,rira,"cry, wail, trickle away, disappear, fade",ndiriragwo N;PL;BANTU10,Substring Overlap
ngotoko,goto,ear,ngotoko N;SG;BANTU10,Substring Overlap
utathiaga,thia,"point, tip, highest point, utmost, keep livestock",thiaga V;FUT,Substring Overlap
munyu,munyu,salt,munyu N;SG;BANTU1,PanLex Exact Match
muruna,muru,mosquito,muruna N;SG;BANTU1,Substring Overlap
Muciri,ciri,"shin, shin (bone)",uMuciri N;SG;BANTU1,PanLex Exact Match
kanua,kanua,mouth,kanua V;PST;REC;3;SG,PanLex Exact Match
Kumtha,mtha,[Translation Missing],mtha V;PRS;HAB;3;SG,No Lexicon Match
rwamba,amba,"apply, spread over, apply (by stretching)",rwamba,Substring Overlap
nduire,dua,[Translation Missing],ndua V;PRS,No Lexicon Match
irugaga,ruga,"cook, stir",irugaga N;SG;BANTU9,Substring Overlap
kurarwo,kura,be fully grown,kurarwo N;SG;BANTU15,Substring Overlap
gatingirungika,gatingirungika,[Translation Missing],gatingirungika V;PST,No Lexicon Match
gitirugaga,ruga,"cook, stir",gitirugaga V;PRS,Substring Overlap
thuguri,thuguri,[Translation Missing],thuguri N;SG;BANTU11,No Lexicon Match
mugo,ara mugongo,"carry, carry (a child on the back in a blanket)",mugo N;SG;BANTU1,Substring Overlap
ngirinyu,giri,"two, warthog, enclosure, fence",ngirinyu N;SG;BANTU9,Substring Overlap
kimenyi,menya,know,menya V;PRS;HAB;3;SG,PanLex Exact Match
uhoro,gira uhoro,take leave of,uhoro N;SG;BANTU1,Substring Overlap
muria,muri,root,uMuria N;SG;BANTU1,Substring Overlap
gatituhagia,hagia,[Translation Missing],gatituhagia V;PST,No Lexicon Match
maronana,ronana,[Translation Missing],maronana N;PL;BANTU6,No Lexicon Match
muhituki,muhituki,[Translation Missing],muhituki N;SG;BANTU1,No Lexicon Match
Igiaraga,araga,[Translation Missing],igiaraga N;SG;BANTU10,No Lexicon Match
kunaga,naga,[Translation Missing],kunaga V;NFIN,No Lexicon Match
muthece,theca,[Translation Missing],theca V;PST;REC;2;PL,No Lexicon Match
igwa,igwa,thorn,igwa N;SG;BANTU10,PanLex Exact Match
kihii,kihii,[Translation Missing],kihii N;SG;BANTU15,No Lexicon Match
huhita,hita,"hunting, swear",huhita V;PRS,PanLex Exact Match
Kaara,kaara,[Translation Missing],kaara,No Lexicon Match
Gukiara,gukia,"dawn, daybreak",Gukiara,Substring Overlap
mwana,mwana,"child, baby, very young human being, babby, babe, infaneto, infant, kid, little sweetie, newborn, newborn child, papoose, pikkie, small insect",mwana N;SG;BANTU1,PanLex Exact Match
kiri,ega makiria,"excellent, fine",kiri DET;POSS;PSS1P;BANTU1,Substring Overlap
maai,maai,[Translation Missing],maai N;PL;BANTU6,No Lexicon Match
maheo,maheo,[Translation Missing],maheo N;PL;BANTU6,No Lexicon Match
njiraini,jira,highway,njiraini N;SG;BANTU10,Substring Overlap
riaguka,guka,[Translation Missing],guka V;PST;REC;3;SG,No Lexicon Match
Kiero,ero,thigh,Kiero N;SG;BANTU15,PanLex Exact Match
ungitema,gwatemala,"Guatemala, country in Central America, Guatemala City, 𐐘𐐶𐐪𐐼𐐲𐑋𐐪𐑊𐐲",tema V;PRS;HAB;2;SG,Substring Overlap
muthati,muthati,[Translation Missing],muthati N;SG;BANTU1,No Lexicon Match
kinandu,kinandu,[Translation Missing],Kinandu N;SG;BANTU10,No Lexicon Match
thiriini,iria,"that, milk, breast, lake",thiria V;PRS;HAB;1;PL,Substring Overlap
o,o,"effort, exertion",o DET;PROX;BANTU1,PanLex Exact Match
murogi,murogi,sorcerer,murogi N;SG;BANTU1,PanLex Exact Match
uthekagirira,agirira,"befit, suit",thekagirira V;PRS,Substring Overlap
ituma,tuma,"send, sew, woman",tuma V;PRS,PanLex Exact Match
kiongaga,onga,"suck, suck (the breast)",ongaga V;PRS,Substring Overlap
mwendwo,mwendwo,[Translation Missing],mwendwo N;SG;BANTU1,No Lexicon Match
Kanoro,kanoro,[Translation Missing],Kanoro,No Lexicon Match
Gikuyu,gikuyu,Kikuyu,Gikuyu N;SG;BANTU1,PanLex Exact Match
Karanga,ranga,fry,Karanga,PanLex Exact Match
rwembeaini,embeaini,[Translation Missing],embeaini V;PRS;PROG;3;SG,No Lexicon Match
kienjithagio,thagi,buttermilk,enjithagio V;PRS;HAB;3;SG,Substring Overlap
Muri,muri,root,uMuri,PanLex Exact Match
kaigu,igu,[Translation Missing],kaigu N;SG;BANTU15,No Lexicon Match
ritakuria,ria,"milk, breast, lake",ria V;FUT,PanLex Exact Match
itaga,gatagati,"inside, in the middle of",itaga,Substring Overlap
gitiro,gitiro,[Translation Missing],gitiro,No Lexicon Match
athi,thi,"country, (our) country",athi PRO;INT;INTENS,PanLex Exact Match
mundu,mundu,"person, person, individual, capita",mundu N;SG;BANTU1,PanLex Exact Match
gatiiyumburaga,bura,rain,gatiiyumburaga V;FUT,Substring Overlap
ungi,kunungira,"smell out, sniff",ungi DET;POSS;PSS1P;BANTU1,Substring Overlap
ndara,ndara,[Translation Missing],ndara N;SG;BANTU9,No Lexicon Match
ndaconokaga,conokaga,[Translation Missing],conokaga V;PST;REC;1;SG,No Lexicon Match
Gathutha,gathutha,[Translation Missing],Gathutha V;PRS;HAB;3;SG,No Lexicon Match
rita,mambarita,thatched roof,rita V;PRS;PROG;3;SG,Substring Overlap
imwe,imwe,one,imwe,PanLex Exact Match
uroigwo,uroigwo,[Translation Missing],uroigwo N;SG;BANTU1,No Lexicon Match
riuragaga,uraga,"kill, break, snap",riuragaga V;PRS,Substring Overlap
nyeki,nyeki,[Translation Missing],nyeki N;SG;BANTU9,No Lexicon Match
Kugera,gera,"iron, iron ore, machine, spring",gera V;PRS;HAB;3;SG,PanLex Exact Match
Mondo,ondo,"basket, basket (of open wicker-work)",mondo N;SG;BANTU1,Substring Overlap
monaga,monaga,[Translation Missing],monaga V;PRS,No Lexicon Match
riemba,lasembagi,"Luxembourg, 𐐢𐐲𐐿𐑅𐐲𐑋𐐺𐐲𐑉𐑀",emba V;PRS,Substring Overlap
Igitunywo,igitunywo,[Translation Missing],igitunywo N;PL;BANTU10,No Lexicon Match
ritigiragia,tigiragia,[Translation Missing],ritigiragia V;PRS,No Lexicon Match
gitatuirie,tatuira,[Translation Missing],gitatuiria V;PST;REC;3;SG,No Lexicon Match
matiui,tiui,[Translation Missing],tiui V;PST;REC;2;PL,No Lexicon Match
Mari,kicumari,Somali,uMari,Substring Overlap
kia,kia,"dawn, daybreak, plunge into, sink, (cause to) sink, grind, grind (grain with a millstone)",kia V;PRS,PanLex Exact Match
oigaga,igaga,[Translation Missing],igaga V;NFIN,No Lexicon Match
kamenyaga,enya,shave,menyaga V;PST;REC;3;SG,Substring Overlap
rukirega,rega,"refuse, say no",rukirega V;PRS,PanLex Exact Match
baba,babados,"Barbados, country in the Caribbean",baba,Substring Overlap
kihia,hia,[Translation Missing],kihia V;PRS,No Lexicon Match
mukimiri,mukimiri,[Translation Missing],mukimiri N;SG;BANTU1,No Lexicon Match
Matigana,gana,hundred,tigana V;PST;REC;3;SG,Substring Overlap
ateire,tea,[Translation Missing],teira V;PST;REC;3;SG,No Lexicon Match
ndugira,ndugira,[Translation Missing],ndugira N;SG;BANTU10,No Lexicon Match
mwiroreri,mwiroreri,[Translation Missing],mwiroreri N;SG;BANTU1,No Lexicon Match
umenyagwo,enya,shave,umenyagwo N;SG;BANTU1,Substring Overlap
thingira,hingira,close,thingira V;PRS,Substring Overlap
wanatega,tega,[Translation Missing],tega V;PST;REC;2;SG,No Lexicon Match
mahoro,mahoro,[Translation Missing],mahoro N;PL;BANTU6,No Lexicon Match
kamukwa,mukwa,[Translation Missing],mukwa V;PST;REC;3;SG,No Lexicon Match
igakora,igakora,[Translation Missing],igakora N;SG;BANTU9,No Lexicon Match
amu,wamu,[Translation Missing],amu DET;POSS;PSS1P;BANTU6,No Lexicon Match
Gakunywo,gakunywo,[Translation Missing],Gakunywo N;SG;BANTU15,No Lexicon Match
Karatha,ratha,[Translation Missing],Karatha N;SG;BANTU15,No Lexicon Match
ciihitie,hita,"hunting, swear",ciihita V;PST;REC;3;SG,PanLex Exact Match
nyiniko,nyiniko,[Translation Missing],nyiniko N;SG;BANTU9,No Lexicon Match
Me,me,dew,me DET;POSS;PSS1P;BANTU4,PanLex Exact Match
Kunyitha,nyitha,[Translation Missing],nyitha V;NFIN,No Lexicon Match
gutiiriragwo,rira,"cry, wail, trickle away, disappear, fade",gutiiriragwo N;SG;BANTU14,Substring Overlap
Munyaka,umunyaka,[Translation Missing],uMunyaka N;SG;BANTU1,No Lexicon Match
ikumi,ikumi,ten,ikumi N;SG;BANTU9,PanLex Exact Match
ethukitie,thuka,[Translation Missing],thukita V;PST;REC;3;SG,No Lexicon Match
muhoi,muhoi,[Translation Missing],muhoi N;SG;BANTU1,No Lexicon Match
gutungana,gana,hundred,gutungana V;PRS,Substring Overlap
Kumenya,menya,know,menya V;PST;REM;3;SG,PanLex Exact Match
kihooto,kihooto,[Translation Missing],kihooto N;SG;BANTU15,No Lexicon Match
Mucukani,umucuka,[Translation Missing],uMucuka N;SG;BANTU1,No Lexicon Match
Mugoma,goma,"spirit, spirit (of dead person), evil spirit",goma V;PRS;HAB;3;SG,PanLex Exact Match
igithii,igithii,[Translation Missing],igithii N;SG;BANTU9,No Lexicon Match
Kuhitia,hiti,"hunter, (professional) hunter",hitia V;NFIN,Substring Overlap
ruhara,ruhara,[Translation Missing],ruhara,No Lexicon Match
utangutuika,gutuika,"be, become",tangutuika V;PRS,Substring Overlap
agatungatwo,tunga,meet,gatungatwo V;PRS;HAB;3;SG,Substring Overlap
itanakira,kira,"wear, be quiet, clothe, place, put",itanakira,Substring Overlap
ndoraga,ndoraga,[Translation Missing],ndoraga N;SG;BANTU9,No Lexicon Match
utuuraga,uraga,"kill, break, snap",tuuraga V;PRS,Substring Overlap
kana,hakana,"be adjacent, border",kana V;PRS,Substring Overlap
kwenda,enda,"love, want, need, wish",enda V;PRS;HAB;3;SG,PanLex Exact Match
Indo,indonesia,"Indonesia, country, Achinese, Borobudur, Buginese, Cia-Cia, Lombok, Medan, Rejang, Sasak, kujang, 𐐆𐑌𐐼𐐲𐑌𐐨𐑈𐐲",indo N;SG;BANTU10,Substring Overlap
gutiri,gutiri,[Translation Missing],Gutiri N;SG;BANTU1,No Lexicon Match
uriragio,rira,"cry, wail, trickle away, disappear, fade",uriragio N;SG;BANTU1,Substring Overlap
ikumbi,ikumbi,[Translation Missing],ikumbi N;SG;BANTU9,No Lexicon Match
gitiriagirwo,iria,"that, milk, breast, lake",gitiriagirwo N;SG;BANTU1,Substring Overlap
mata,mata,spittle,mata N;PL;BANTU6,PanLex Exact Match
Kugunagwo,gunagwo,[Translation Missing],gunagwo V;PRS;HAB;3;SG,No Lexicon Match
ucuru,ucuru,gruel,ucuru N;SG;BANTU1,PanLex Exact Match
kariaga,ndiriaga nyama,"I don’t eat meat, I don't eat meat",kariaga V;PST,Substring Overlap
ogi,ogi,[Translation Missing],ogi DET;PROX;BANTU1,No Lexicon Match
mbura,mbura,"rain, condensed water from a cloud, hydrometeor, methane rain, pula, rain water, tinsel icicles",mbura N;SG;BANTU1,PanLex Exact Match
kikuo,kikuo,[Translation Missing],kikuo N;SG;BANTU15,No Lexicon Match
Giikaro,giikaro,[Translation Missing],Giikaro N;SG;BANTU10,No Lexicon Match
imera,mera,"grow, grow (of plants)",imera N;SG;BANTU9,Substring Overlap
mareru,reru,"cheek, chin",mareru N;PL;BANTU6,Substring Overlap
Kirihia,kirihia,[Translation Missing],Kirihia V;PRS;PROG;3;SG,No Lexicon Match
Gukira,kira,"wear, be quiet, clothe, place, put",Gukira,Substring Overlap
meri,amerika,"America, Albuquerque, Altus, Bellingham, Biloxi, Cajun English, Cajun French, Chugwater, Dearborn, Grand Rapids, Iditarod, Kalamazoo, Kingfield, Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, Nice, Obed, Pittsburgh, Reno, Saint-Louis, San José, Shreveport, States, Trenton, U.S., U.S. of A., U.S.A., USA, United States, United States of America, Usonia, Yorktown, US, 𐐏𐐭𐑌𐐴𐐻𐐲𐐼 𐐝𐐻𐐩𐐻𐑅",meri N;SG;BANTU1,Substring Overlap
Matiruka,ruka,"rest, take a holiday",tiruka V;PST;REC;3;SG,Substring Overlap
uhutii,huti,hay,uhutii N;SG;BANTU1,Substring Overlap
ruui,ruua,[Translation Missing],ruui,No Lexicon Match
kuutinda,tinda,[Translation Missing],tinda V;NFIN,No Lexicon Match
marigu,marigu,"banana, banana (for cooking)",marigu N;PL;BANTU6,PanLex Exact Match
ciene,ene,self,ciene,PanLex Exact Match
kwendana,enda,"love, want, need, wish",enda V;PRS;HAB;3;SG,PanLex Exact Match
gwikigia,gwikigia,[Translation Missing],gwikigia V;PRS;HAB;3;SG,No Lexicon Match
thi,thi,"country, (our) country",thi PRO;INT;INTENS,PanLex Exact Match
kahii,kahii,[Translation Missing],kahii,No Lexicon Match
Guceera,guceera,[Translation Missing],Guceera,No Lexicon Match
wonaga,ona,[Translation Missing],wonaga V;PRS,No Lexicon Match
gucera,cera,take a walk,gucera,Substring Overlap
moi,moi,[Translation Missing],moi DET;POSS;PSS1P;BANTU4,No Lexicon Match
ndendaga,enda,"love, want, need, wish",endaga V;PRS,Substring Overlap
ititiraga,titiraga,[Translation Missing],titiraga V;PRS,No Lexicon Match
Mucari,caria,"search for, search, search (diligently)",uMucari,Substring Overlap
kiara,kiara,"rubbish heap, toe",Kiara,PanLex Exact Match
ringi,kuringika,"faint, lose consciousness",ringi,Substring Overlap
Kumagara,magara,[Translation Missing],magara V;PRS;HAB;3;SG,No Lexicon Match
kuriha,riha,pay,riha V;NFIN,PanLex Exact Match
konagia,konagia,[Translation Missing],konagia V;PRS,No Lexicon Match
Gitonga,onga,"suck, suck (the breast)",gitonga N;SG;BANTU10,Substring Overlap
gikarima,rima,"cultivate, mountain, hill, hole, pit, nest",gikarima N;SG;BANTU10,PanLex Exact Match
uciraga,ciraga,[Translation Missing],ciraga V;PRS,No Lexicon Match
Muikarire,ikara,"charcoal, embers",ikarire N;SG;BANTU1,PanLex Exact Match
irio,ndirenda irio,I need food,irio,Substring Overlap
Muhenania,henania,[Translation Missing],henania V;PRS;HAB;3;SG,No Lexicon Match
koyaga,kirinyaga,Mount Kenya,yaga V;NFIN,Substring Overlap
Gutirika,rika,mourning,Gutirika V;PRS,Substring Overlap
uria,cimburia,"dig up, dig out",uria N;SG;BANTU1,Substring Overlap
Guthukagirio,giri,"two, warthog, enclosure, fence",Guthukagirio V;PRS;HAB;3;SG,Substring Overlap
kiriaga,aga,[Translation Missing],kiriaga V;PRS,No Lexicon Match
rurugi,ruru,"shade, shadow",rurugi N;SG;BANTU11,Substring Overlap
akerwo,kerwo,[Translation Missing],kerwo V;PRS;HAB;3;SG,No Lexicon Match
kerathaga,thaga,[Translation Missing],thaga V;PRS;PROG;3;SG,No Lexicon Match
kiongo,kiongo,head,kiongo,PanLex Exact Match
munju,munju,[Translation Missing],munju N;SG;BANTU1,No Lexicon Match
kahoragia,hora,beat,horagia V;PST;REC;3;SG,Substring Overlap
agitemera,mera,"grow, grow (of plants)",gitemera V;PRS,Substring Overlap
Gakiihotora,gakiihotora,[Translation Missing],Gakiihotora V;PRS;PROG;3;SG,No Lexicon Match
gutingigiria,gigi,locust,gutingigiria V;PRS,Substring Overlap
Guthura,hura,"wash, wash (clothes), rub, beat",Guthura,Substring Overlap
Kinandu,kinandu,[Translation Missing],Kinandu N;SG;BANTU10,No Lexicon Match
nyinyi,nyinyi,[Translation Missing],nyinyi N;SG;BANTU9,No Lexicon Match
ma,ma,[Translation Missing],ma DET;POSS;PSS1P;BANTU6,No Lexicon Match
airaga,iraga,[Translation Missing],iraga V;PRS,No Lexicon Match
gitirutanagirwo,iruta,learn,gitirutanagirwo V;PRS;HAB;3;SG,Substring Overlap
kahinga,hinga,obstruct,hinga V;PST;REC;3;SG,PanLex Exact Match
matituranaga,itura,town,tituranaga V;PST;REC;2;PL,Substring Overlap
mendaga,enda,"love, want, need, wish",mendaga V;PRS,Substring Overlap
Muhotwo,umuhotwo,[Translation Missing],uMuhotwo N;SG;BANTU1,No Lexicon Match
itara,tara,count,itara,PanLex Exact Match
muhootani,muhoota,[Translation Missing],muhoota N;SG;BANTU1,No Lexicon Match
wenjagirwo,injagirwo,[Translation Missing],injagirwo N;SG;BANTU1,No Lexicon Match
urehage,rehaga,[Translation Missing],urehage N;SG;BANTU1,No Lexicon Match
kahiu,kahiu,knife,kahiu DET;POSS;PSS1P;BANTU15,PanLex Exact Match
rwimbo,umbo,[Translation Missing],rwimbo,No Lexicon Match
thegi,thegi,[Translation Missing],thegi PRO;INT;INTENS,No Lexicon Match
wothe,otha,[Translation Missing],wothe DET;POSS;PSS1S;BANTU1,No Lexicon Match
nyota,nyota,[Translation Missing],nyota N;SG;BANTU9,No Lexicon Match
Igego,igego,"tooth, biological tooth, baby tooth, milk tooth, teeth",igego,PanLex Exact Match
mahota,hota,"overcome, vanquish, win",mahota N;PL;BANTU6,PanLex Exact Match
taguo,taguo,[Translation Missing],taguo,No Lexicon Match
uta,uta,"bow, bending, bowstring",uta V;PRS,PanLex Exact Match
Giathi,giathi,[Translation Missing],Giathi N;SG;BANTU1,No Lexicon Match
Gikuu,gikuu,death,Gikuu N;SG;BANTU14,PanLex Exact Match
matiagaga,tiagaga,[Translation Missing],tiagaga V;PST;REC;2;PL,No Lexicon Match
oke,oke,[Translation Missing],oke DET;POSS;PSS1S;BANTU1,No Lexicon Match
ndokeirwo,ndokeirwo,[Translation Missing],ndokeirwo N;SG;BANTU10,No Lexicon Match
ciothe,otha,[Translation Missing],ciothe,No Lexicon Match
iriaga,aga,[Translation Missing],iriaga,No Lexicon Match
Kuguru,guru,"sky, foot, leg, above, up, old, tortoise",guru ADJ;BANTU15,PanLex Exact Match
ciura,ciura,[Translation Missing],ciura,No Lexicon Match
Igukua,guku,"fowl, hen, hump, hump (of hunchback)",gukua V;PRS,Substring Overlap
utaguteo,guteo,[Translation Missing],guteo V;FUT;2;SG,No Lexicon Match
riunaga,riunaga,[Translation Missing],riunaga V;PRS,No Lexicon Match
agethire,getha,"gather, gather (flowers, fruit)",getha V;PST;REC;3;SG,PanLex Exact Match
muma,muma,[Translation Missing],muma N;SG;BANTU1,No Lexicon Match
Muinuki,nuki,[Translation Missing],uMuinuki N;SG;BANTU1,No Lexicon Match
Kareraria,rari,soot,reraria V;PRS;PROG;3;SG,Substring Overlap
Muriganio,muri,root,uMuriganio N;SG;BANTU1,Substring Overlap
iruga,ruga,"cook, stir",iruga N;SG;BANTU9,PanLex Exact Match
acokagirirwo,coka,"return, go back",cokagirirwo V;PRS;HAB;3;SG,Substring Overlap
ria,ria,"milk, breast, lake",ria V;PRS;PROG;3;SG,PanLex Exact Match
nduminaga,nduminaga,[Translation Missing],nduminaga N;SG;BANTU11,No Lexicon Match
muhu,hiu ka muhuko,penknife,muhu N;SG;BANTU1,Substring Overlap
kuhuuna,huuna,[Translation Missing],huuna V;NFIN,No Lexicon Match
ngui,ngui,dog,ngui DET;POSS;PSS1P;BANTU9,PanLex Exact Match
aruga,ruga,"cook, stir",ruga V;NFIN,PanLex Exact Match
guthii,uthi,pestle,Guthii N;SG;BANTU14,Substring Overlap
ndwakaga,ga,cook,ndwakaga N;SG;BANTU10,PanLex Exact Match
yake,wake,[Translation Missing],wake DET;POSS;PSS1S;BANTU9,No Lexicon Match
Gukungagwo,guku,"fowl, hen, hump, hump (of hunchback)",Gukungagwo N;SG;BANTU14,Substring Overlap
gwota,gwota,[Translation Missing],gwota V;PRS,No Lexicon Match
gake,wake,[Translation Missing],gake DET;POSS;PSS1S;BANTU7,No Lexicon Match
Kiringiri,giri,"two, warthog, enclosure, fence",Kiringiri N;SG;BANTU10,Substring Overlap
iragwo,iragwo,[Translation Missing],iragwo,No Lexicon Match
Mbari,mbari,clan,uMbari,PanLex Exact Match
Gukiririria,iria,"that, milk, breast, lake",Gukiririria V;PRS;HAB;3;SG,Substring Overlap
ruthiomi,ruthi,lion,ruthiomi N;SG;BANTU11,Substring Overlap
muka,humuka,"breathe, rest",uMuka N;SG;BANTU1,Substring Overlap
atigaga,tiga,"leave, leave (off)",tigaga V;PRS,Substring Overlap
Githumba,humba,"heap, pile up, stack",Githumba N;SG;BANTU10,Substring Overlap
mbaki,mbaki,tobacco,mbaki N;SG;BANTU1,PanLex Exact Match
kwienda,enda,"love, want, need, wish",enda V;PRS;HAB;3;SG,PanLex Exact Match
mugunda,gunda,"plot of ground, garden, earth, land, cultivated ground",gunda V;PRS,PanLex Exact Match
kirimu,kirimu,[Translation Missing],kirimu N;SG;BANTU15,No Lexicon Match
kwirwo,kwirwo,[Translation Missing],kwirwo,No Lexicon Match
ndua,nduano,fishhook,ndua V;PRS,Substring Overlap
ihitane,hita,"hunting, swear",hitana V;PST;REC;3;SG,Substring Overlap
muthiomeri,muthi,today,muthiomeri N;SG;BANTU1,Substring Overlap
Mura,mura,wring,mura V;PRS,PanLex Exact Match
nduiriro,riro,"cry, sound",nduiriro N;SG;BANTU10,Substring Overlap
iganjo,iganjo,[Translation Missing],iganjo,No Lexicon Match
mugiano,mugiano,[Translation Missing],mugiano N;SG;BANTU1,No Lexicon Match
kunyitura,itura,town,nyitura V;NFIN,Substring Overlap
gatathukagio,gatathukagio,[Translation Missing],gatathukagio N;SG;BANTU1,No Lexicon Match
gutema,gwatemala,"Guatemala, country in Central America, Guatemala City, 𐐘𐐶𐐪𐐼𐐲𐑋𐐪𐑊𐐲",gutema N;SG;BANTU14,Substring Overlap
ndaruriagira,ruriagira,[Translation Missing],ruriagira V;PST,No Lexicon Match
Arume,ruma,"bite, abuse",ruma V;PST;REC;3;SG,PanLex Exact Match
Kuhonoka,honoka,[Translation Missing],honoka V;NFIN,No Lexicon Match
uri,uri,[Translation Missing],uri DET;PROX;BANTU1,No Lexicon Match
ndwathagwo,thagwo,[Translation Missing],thagwo V;PST;REC;1;SG,No Lexicon Match
Marakara,kara,"charcoal, embers, deny",uMarakara,Substring Overlap
mburi,mburi,goat,uMburi N;SG;BANTU1,PanLex Exact Match
kurimithanio,rimi,"tongue, agriculture",rimithanio V;NFIN,Substring Overlap
Kuganwo,gana,hundred,ganwo V;PRS;HAB;3;SG,PanLex Exact Match
Gukuhiriria,iria,"that, milk, breast, lake",hiriria V;PRS;PROG;3;SG,Substring Overlap
ndathikuragia,kura,be fully grown,thikuragia V;PST,Substring Overlap
ihiga,higa,stone,higa V;PRS,PanLex Exact Match
ahingaga,hinga,obstruct,hingaga V;PRS,Substring Overlap
akua,kua,die,akua V;PRS,PanLex Exact Match
iraka,irak,"Iraq, country, Shia crescent, axis of evil",iraka,Substring Overlap
heho,heho,[Translation Missing],heho,No Lexicon Match
gutwika,gutwika,[Translation Missing],gutwika V;PRS,No Lexicon Match
Muikaranio,ikara,"charcoal, embers",uMuikaranio N;SG;BANTU1,Substring Overlap
murime,muri,root,murime N;SG;BANTU1,Substring Overlap
kiratina,tina,buttock,kiratina V;PRS,Substring Overlap
mahiu,mahiu,[Translation Missing],mahiu N;PL;BANTU6,No Lexicon Match
thooko,thooko,[Translation Missing],thooko,No Lexicon Match
nderaguragira,gura,buy,guragira V;PRS;PROG;1;SG,Substring Overlap
ngoroku,goro,"heart, soul, spirit",ngoroku N;SG;BANTU10,Substring Overlap
githunu,thunu,[Translation Missing],githunu N;SG;BANTU10,No Lexicon Match
kene,kene,[Translation Missing],kene PRO;INT;PROX;BANTU15,No Lexicon Match
iria,iria,"that, milk, breast, lake",iria N;SG;BANTU9,PanLex Exact Match
Kahunii,hunia,satisfy,Kahunii N;SG;BANTU15,PanLex Exact Match
urakanyuira,nyui,"you, you (plural), razor",nyuira V;PRS;PROG;2;SG,Substring Overlap
Kanua,kanua,mouth,kanua V;PST;REC;3;SG,PanLex Exact Match
atari,dagitari,"doctor, physician, physican",atari N;SG;BANTU1,Substring Overlap
gutua,gutua,[Translation Missing],gutua V;PRS,No Lexicon Match
Kwa,kwa,[Translation Missing],Kwa DET;POSS;PSS1P;BANTU15,No Lexicon Match
Mbogo,mbogo,buffalo,uMbogo,PanLex Exact Match
inene,nene,"great, powerful, chief, large, master",nene ADJ;BANTU9,PanLex Exact Match
koruri,koruri,[Translation Missing],koruri N;SG;BANTU15,No Lexicon Match
murwaru,murwaru,[Translation Missing],murwaru N;SG;BANTU1,No Lexicon Match
mui,mui,[Translation Missing],mui N;SG;BANTU1,No Lexicon Match
maraitika,itika,[Translation Missing],itika V;PST;REC;2;PL,No Lexicon Match
kihumo,kihumo,[Translation Missing],kihumo N;SG;BANTU15,No Lexicon Match
